,player,pts,ast,trb,stl,blk,g,3pta,3ptm,fga,fgm,ppg,apg,rpg,spg,bpg,3pt%,fg%,first year,last year,years played,all stars,hof,ows,dws,ws,win%
1030,D.J. Wilson,830,131,564.0,51.0,59.0,181,381.0,126.0,750,312,4.6,0.7,3.1,0.3,0.3,0.33,0.42,2018,2022,5,0,False,-0.2,3.1,3.0,0.5
1031,DaJuan Summers,278,29,82.0,18.0,8.0,83,79.0,29.0,268,103,3.3,0.3,1.0,0.2,0.1,0.37,0.38,2010,2013,4,0,False,-0.3,0.2,-0.09999999999999998,0.3
1032,DaQuan Jeffries,306,52,162.0,34.0,21.0,78,153.0,45.0,282,121,3.9,0.7,2.1,0.4,0.3,0.29,0.43,2020,2022,3,0,False,0.30000000000000004,0.6000000000000001,0.8,0.2
1033,Daequan Cook,2251,262,764.0,128.0,55.0,377,1323.0,468.0,2223,809,6.0,0.7,2.0,0.3,0.1,0.35,0.36,2008,2013,6,0,False,1.1102230246251565e-16,4.7,4.7,0.5
1034,Dahntay Jones,3615,577,1183.0,283.0,150.0,702,374.0,118.0,2961,1285,5.1,0.8,1.7,0.4,0.2,0.32,0.43,2004,2017,14,0,False,2.1999999999999997,8.2,10.4,0.5
1035,Dairis Bertāns,34,10,9.0,1.0,0.0,12,34.0,10.0,47,12,2.8,0.8,0.8,0.1,0.0,0.29,0.26,2019,2019,1,0,False,-0.2,0.0,-0.2,0.4
1036,Daishen Nix,303,172,131.0,46.0,7.0,81,166.0,47.0,304,108,3.7,2.1,1.6,0.6,0.1,0.28,0.36,2022,2023,2,0,False,-1.8,0.4,-1.4,0.3
1037,Dajuan Wagner,964,195,142.0,69.0,14.0,103,287.0,92.0,967,354,9.4,1.9,1.4,0.7,0.1,0.32,0.37,2003,2007,5,0,False,-0.6000000000000001,0.6,0.0,0.3
1038,Dakari Johnson,55,8,34.0,6.0,8.0,31,0.0,0.0,39,22,1.8,0.3,1.1,0.2,0.3,0.0,0.56,2018,2018,1,0,False,0.4,0.2,0.6,0.6
1039,Dakota Mathias,54,14,9.0,2.0,3.0,14,32.0,10.0,54,21,3.9,1.0,0.6,0.1,0.2,0.31,0.39,2021,2022,2,0,False,0.0,0.1,0.2,0.7
1040,Dalano Banton,347,135,169.0,41.0,23.0,95,102.0,28.0,332,138,3.7,1.4,1.8,0.4,0.2,0.27,0.42,2022,2023,2,0,False,-0.4,1.2000000000000002,0.8,0.6
1041,Dale Davis,8990,1025,8980.0,723.0,1335.0,1155,8.0,0.0,7013,3704,7.8,0.9,7.8,0.6,1.2,0.0,0.53,1992,2007,16,1,False,47.2,43.4,90.2,0.6
1042,Dale Ellis,20039,1855,4430.0,1036.0,191.0,1302,4523.0,1813.0,16152,7729,15.4,1.4,3.4,0.8,0.1,0.4,0.48,1984,2000,17,1,False,68.6,19.8,88.4,0.5
1043,Dale Hamilton,25,17,0.0,0.0,0.0,14,0.0,0.0,33,8,1.8,1.2,0.0,0.0,0.0,0.0,0.24,1950,1950,1,0,False,-0.2,-0.1,-0.3,0.3
1044,Dale Schlueter,3130,920,3034.0,67.0,91.0,586,0.0,0.0,2366,1176,5.3,1.6,5.2,0.1,0.2,0.0,0.5,1969,1978,10,0,False,11.8,9.0,20.8,0.4
1045,Dale Wilkinson,28,4,8.0,0.0,0.0,24,2.0,0.0,32,8,1.2,0.2,0.3,0.0,0.0,0.0,0.25,1985,1985,1,0,False,-0.2,0.0,-0.2,0.2
1046,Dalen Terry,85,22,37.0,11.0,5.0,38,27.0,7.0,72,32,2.2,0.6,1.0,0.3,0.1,0.26,0.44,2023,2023,1,0,False,0.1,0.3,0.5,0.5
1047,Dalibor Bagarić,251,37,238.0,29.0,43.0,95,2.0,0.0,269,97,2.6,0.4,2.5,0.3,0.5,0.0,0.36,2001,2003,3,0,False,-1.7999999999999998,0.8999999999999999,-0.8999999999999999,0.3
1048,Dallas Comegys,856,95,452.0,78.0,133.0,142,3.0,0.0,704,322,6.0,0.7,3.2,0.5,0.9,0.0,0.46,1988,1989,2,0,False,-1.3,2.4000000000000004,1.0999999999999999,0.2
1049,Dallas Thornton,341,74,141.0,0.0,0.0,50,11.0,2.0,284,123,6.8,1.5,2.8,0.0,0.0,0.18,0.43,1969,1970,2,0,False,0.5,0.7999999999999999,1.3,0.6
1050,Damian Jones,1584,222,1050.0,104.0,219.0,320,82.0,34.0,934,618,5.0,0.7,3.3,0.3,0.7,0.41,0.66,2017,2023,7,0,False,9.0,4.2,13.2,0.4
1051,Damian Lillard,19376,5151,3253.0,732.0,239.0,769,6410.0,2387.0,14299,6281,25.2,6.7,4.2,1.0,0.3,0.37,0.44,2013,2023,11,7,False,86.7,16.2,103.0,0.5
1052,Damien Inglis,36,10,31.0,6.0,3.0,20,13.0,3.0,37,13,1.8,0.5,1.6,0.3,0.2,0.23,0.35,2016,2016,1,0,False,-0.2,0.2,-0.1,0.4
1053,Damien Wilkins,3604,796,1362.0,431.0,130.0,582,627.0,205.0,3157,1344,6.2,1.4,2.3,0.7,0.2,0.33,0.43,2005,2018,14,0,False,6.0,6.4,12.1,0.4
1054,Damion James,150,26,131.0,23.0,20.0,39,6.0,0.0,147,61,3.8,0.7,3.4,0.6,0.5,0.0,0.41,2011,2014,4,0,False,-0.8,0.7,-0.1,0.4
1055,Damion Lee,2384,410,982.0,189.0,28.0,290,995.0,377.0,1899,828,8.2,1.4,3.4,0.7,0.1,0.38,0.44,2018,2023,6,0,False,4.6,6.1,10.8,0.5
1056,Damir Markota,51,6,31.0,3.0,1.0,30,16.0,6.0,52,19,1.7,0.2,1.0,0.1,0.0,0.38,0.37,2007,2007,1,0,False,-0.3,0.0,-0.2,0.3
1057,Damjan Rudež,480,84,92.0,31.0,7.0,146,284.0,106.0,413,175,3.3,0.6,0.6,0.2,0.0,0.37,0.42,2015,2017,3,0,False,0.6,0.8999999999999999,1.5,0.4
1058,Damon Jones,4684,1944,1173.0,288.0,21.0,736,2590.0,1007.0,4057,1640,6.4,2.6,1.6,0.4,0.0,0.39,0.4,1999,2009,11,0,False,21.1,8.3,29.3,0.5
1059,Damon Stoudamire,13305,6116,3455.0,1096.0,90.0,1009,3917.0,1377.0,12090,4897,13.2,6.1,3.4,1.1,0.1,0.35,0.41,1996,2008,13,0,False,40.9,19.1,60.1,0.4
1060,Damone Brown,108,19,52.0,5.0,7.0,39,14.0,4.0,128,43,2.8,0.5,1.3,0.1,0.2,0.29,0.34,2002,2005,4,0,False,-1.0,0.2,-0.6000000000000001,0.5
1061,Damyean Dotson,1594,315,532.0,109.0,20.0,213,733.0,253.0,1446,603,7.5,1.5,2.5,0.5,0.1,0.35,0.42,2018,2022,5,0,False,1.2,1.9000000000000001,3.0,0.3
1062,Dan Anderson,2612,390,1867.0,36.0,3.0,297,0.0,0.0,2190,1038,8.8,1.3,6.3,0.1,0.0,0.0,0.47,1968,1976,9,0,False,8.7,6.6000000000000005,15.5,0.4
1063,Dan Anderson,2612,390,1867.0,36.0,3.0,297,0.0,0.0,2190,1038,8.8,1.3,6.3,0.1,0.0,0.0,0.47,1968,1976,9,0,False,8.7,6.6000000000000005,15.5,0.4
1064,Dan Dickau,2727,1137,611.0,257.0,15.0,414,800.0,274.0,2371,951,6.6,2.7,1.5,0.6,0.0,0.34,0.4,2003,2008,6,0,False,5.3999999999999995,4.1000000000000005,9.2,0.2
1065,Dan Gadzuric,2583,210,2461.0,255.0,477.0,569,9.0,0.0,2229,1103,4.5,0.4,4.3,0.4,0.8,0.0,0.49,2003,2012,10,0,False,5.3999999999999995,10.1,16.1,0.4
1066,Dan Godfread,13,0,2.0,1.0,4.0,11,1.0,0.0,12,5,1.2,0.0,0.2,0.1,0.4,0.0,0.42,1991,1992,2,0,False,0.0,0.0,0.1,0.4
1067,Dan Hester,496,70,468.0,0.0,0.0,84,24.0,10.0,490,194,5.9,0.8,5.6,0.0,0.0,0.42,0.4,1971,1971,1,0,False,-0.4,1.4,1.0,0.2
1068,Dan Issel,27482,2907,11133.0,1039.0,572.0,1218,142.0,29.0,20904,10431,22.6,2.4,9.1,0.9,0.5,0.2,0.5,1971,1985,15,7,True,110.9,46.8,158.0,0.6
1069,Dan King,19,3,25.0,0.0,0.0,12,0.0,0.0,22,7,1.6,0.2,2.1,0.0,0.0,0.0,0.32,1955,1955,1,0,False,0.0,0.0,0.0,0.0
1070,Dan Kraus,21,7,0.0,0.0,0.0,13,0.0,0.0,35,5,1.6,0.5,0.0,0.0,0.0,0.0,0.14,1949,1949,1,0,False,-0.4,0.1,-0.3,0.5
1071,Dan Langhi,406,39,203.0,30.0,12.0,139,40.0,12.0,454,177,2.9,0.3,1.5,0.2,0.1,0.3,0.39,2001,2004,4,0,False,-0.6000000000000001,0.9,0.20000000000000004,0.4
1072,Dan Majerle,10925,2755,4265.0,1194.0,360.0,955,3798.0,1360.0,9171,3950,11.4,2.9,4.5,1.3,0.4,0.36,0.43,1989,2002,14,3,False,44.6,34.0,78.4,0.7
1073,Dan McClintock,18,1,17.0,0.0,2.0,6,0.0,0.0,18,9,3.0,0.2,2.8,0.0,0.3,0.0,0.5,2001,2001,1,0,False,0.0,0.0,0.0,0.5
1074,Dan O'Sullivan,89,11,71.0,5.0,5.0,51,1.0,0.0,73,30,1.7,0.2,1.4,0.1,0.1,0.0,0.41,1991,1996,6,0,False,0.2,0.1,0.4,0.4
1075,Dan Roundfield,11657,1655,7502.0,695.0,1160.0,813,63.0,7.0,9161,4420,14.3,2.0,9.2,0.9,1.4,0.11,0.48,1976,1987,12,3,False,30.1,36.3,66.3,0.5
1076,Dan Swartz,175,21,88.0,0.0,0.0,39,0.0,0.0,150,57,4.5,0.5,2.3,0.0,0.0,0.0,0.38,1963,1963,1,0,False,0.3,0.7,1.0,0.7
1077,Dan Tieman,34,27,22.0,0.0,0.0,29,0.0,0.0,57,15,1.2,0.9,0.8,0.0,0.0,0.0,0.26,1963,1963,1,0,False,-0.5,0.1,-0.5,0.5
1078,Dana Barros,8901,2837,1609.0,740.0,46.0,850,2652.0,1090.0,7140,3281,10.5,3.3,1.9,0.9,0.1,0.41,0.46,1990,2004,15,1,False,38.7,11.1,49.699999999999996,0.4
1079,Dana Pagett,5,6,3.0,0.0,0.0,5,3.0,1.0,9,1,1.0,1.2,0.6,0.0,0.0,0.33,0.11,1972,1972,1,0,False,-0.1,0.0,-0.1,0.4
1080,Dane Suttle,272,48,49.0,21.0,0.0,46,4.0,0.0,227,115,5.9,1.0,1.1,0.5,0.0,0.0,0.51,1984,1985,2,0,False,0.6,0.3,0.9,0.5
1081,Daniel Ewing,431,174,158.0,69.0,10.0,127,122.0,36.0,416,162,3.4,1.4,1.2,0.5,0.1,0.3,0.39,2006,2007,2,0,False,-1.0,1.7,0.8,0.6
1082,Daniel Gafford,2362,231,1408.0,128.0,404.0,301,1.0,0.0,1390,976,7.8,0.8,4.7,0.4,1.3,0.0,0.7,2020,2023,4,0,False,13.9,6.9,21.0,0.3
1083,Daniel Gibson,3115,775,792.0,243.0,86.0,397,1419.0,578.0,2646,1065,7.8,2.0,2.0,0.6,0.2,0.41,0.4,2007,2013,7,0,False,9.1,6.8,15.899999999999999,0.5
1084,Daniel Hamilton,69,30,52.0,7.0,1.0,25,28.0,10.0,71,28,2.8,1.2,2.1,0.3,0.0,0.36,0.39,2018,2019,2,0,False,-0.1,0.1,0.0,0.4
1085,Daniel Ochefu,24,3,22.0,2.0,0.0,19,0.0,0.0,27,12,1.3,0.2,1.2,0.1,0.0,0.0,0.44,2017,2017,1,0,False,-0.1,0.1,0.0,0.6
1086,Daniel Orton,143,24,126.0,18.0,28.0,51,1.0,0.0,103,50,2.8,0.5,2.5,0.4,0.5,0.0,0.49,2012,2014,3,0,False,0.30000000000000004,0.6,1.1,0.5
1087,Daniel Oturu,63,10,53.0,4.0,9.0,33,6.0,1.0,58,25,1.9,0.3,1.6,0.1,0.3,0.17,0.43,2021,2022,2,0,False,0.0,0.2,0.4,0.7
1088,Daniel Santiago,417,38,260.0,39.0,47.0,122,0.0,0.0,326,153,3.4,0.3,2.1,0.3,0.4,0.0,0.47,2001,2005,5,0,False,0.2,1.6,1.7999999999999998,0.5
1089,Daniel Sparks,438,45,303.0,0.0,0.0,67,0.0,0.0,414,160,6.5,0.7,4.5,0.0,0.0,0.0,0.39,1969,1970,2,0,False,-0.4,1.1,0.7,0.6
1090,Daniel Theis,3377,542,2115.0,212.0,356.0,425,750.0,242.0,2483,1340,7.9,1.3,5.0,0.5,0.8,0.32,0.54,2018,2023,6,0,False,14.6,11.6,26.0,0.4
1091,Danilo Gallinari,12297,1518,3815.0,587.0,289.0,790,4025.0,1529.0,8716,3719,15.6,1.9,4.8,0.7,0.4,0.38,0.43,2009,2022,14,0,False,54.6,15.7,69.9,0.5
1092,Danny Ainge,13245,4601,3023.0,1226.0,140.0,1115,2956.0,1118.0,10956,5123,11.9,4.1,2.7,1.1,0.1,0.38,0.47,1982,1995,14,1,False,50.8,27.3,78.2,0.6
1093,Danny Doyle,16,3,8.0,0.0,0.0,4,0.0,0.0,12,6,4.0,0.8,2.0,0.0,0.0,0.0,0.5,1963,1963,1,0,False,0.1,0.0,0.1,0.5
1094,Danny Ferry,6439,1185,2550.0,384.0,292.0,917,1724.0,677.0,5615,2505,7.0,1.3,2.8,0.4,0.3,0.39,0.45,1991,2003,13,0,False,15.600000000000001,19.0,34.7,0.6
1095,Danny Finn,1042,566,548.0,0.0,0.0,142,0.0,0.0,1169,382,7.3,4.0,3.9,0.0,0.0,0.0,0.33,1953,1955,3,0,False,-2.1,3.0999999999999996,0.9999999999999999,0.4
1096,Danny Fortson,3615,301,3184.0,182.0,94.0,440,12.0,2.0,2534,1196,8.2,0.7,7.2,0.4,0.2,0.17,0.47,1998,2007,10,0,False,16.6,5.8,22.4,0.4
1097,Danny Granger,10193,1138,3021.0,573.0,498.0,627,2772.0,1049.0,7979,3448,16.3,1.8,4.8,0.9,0.8,0.38,0.43,2006,2015,10,1,False,27.6,22.1,49.8,0.4
1098,Danny Green,7265,1282,2839.0,858.0,637.0,841,3982.0,1593.0,6094,2568,8.6,1.5,3.4,1.0,0.8,0.4,0.42,2010,2023,14,0,False,16.9,32.7,49.3,0.7
1099,Danny Manning,13770,2324,5080.0,1099.0,834.0,951,216.0,44.0,11036,5612,14.5,2.4,5.3,1.2,0.9,0.2,0.51,1989,2003,15,4,False,27.3,31.3,58.6,0.5
1100,Danny Schayes,9777,1517,6385.0,624.0,948.0,1256,31.0,4.0,7061,3364,7.8,1.2,5.1,0.5,0.8,0.13,0.48,1982,1999,18,0,False,23.4,27.099999999999998,50.5,0.5
1101,Danny Vranes,2613,594,1998.0,333.0,270.0,510,19.0,2.0,2131,1056,5.1,1.2,3.9,0.7,0.5,0.11,0.5,1982,1988,7,0,False,3.5999999999999996,11.5,15.3,0.5
1102,Danny Wagner,69,18,0.0,0.0,0.0,11,0.0,0.0,54,19,6.3,1.6,0.0,0.0,0.0,0.0,0.35,1950,1950,1,0,False,0.6,0.0,0.6,0.4
1103,Danny Young,2902,1846,784.0,553.0,41.0,636,664.0,217.0,2508,1084,4.6,2.9,1.2,0.9,0.1,0.33,0.43,1985,1995,11,0,False,11.3,10.4,22.0,0.5
1104,Dante Cunningham,5032,597,3251.0,552.0,409.0,866,807.0,275.0,4613,2154,5.8,0.7,3.8,0.6,0.5,0.34,0.47,2010,2019,10,0,False,11.9,17.5,29.2,0.4
1105,Dante Exum,1548,555,508.0,114.0,52.0,280,590.0,182.0,1371,565,5.5,2.0,1.8,0.4,0.2,0.31,0.41,2015,2021,7,0,False,-0.5000000000000001,3.9000000000000004,3.5,0.5
1106,Danuel House Jr.,2259,351,932.0,171.0,110.0,302,1091.0,397.0,1785,767,7.5,1.2,3.1,0.6,0.4,0.36,0.43,2017,2023,7,0,False,5.3,5.2,10.4,0.4
1107,Darel Carrier,7011,896,1187.0,0.0,0.0,350,1055.0,398.0,5867,2445,20.0,2.6,3.4,0.0,0.0,0.38,0.42,1968,1973,6,3,False,21.0,9.6,30.5,0.5
1108,Darington Hobson,4,6,3.0,0.0,0.0,5,6.0,0.0,13,2,0.8,1.2,0.6,0.0,0.0,0.0,0.15,2012,2012,1,0,False,-0.2,0.0,-0.2,0.4
1109,Dario Šarić,5762,974,2957.0,305.0,102.0,551,1986.0,720.0,4643,2055,10.5,1.8,5.4,0.6,0.2,0.36,0.44,2017,2023,7,0,False,11.4,11.9,23.2,0.4
1110,Darius Bazley,2289,313,1354.0,154.0,204.0,271,802.0,252.0,2022,838,8.4,1.2,5.0,0.6,0.8,0.31,0.41,2020,2023,4,0,False,-3.0999999999999996,6.9,3.9,0.4
1111,Darius Days,15,1,6.0,0.0,1.0,4,10.0,3.0,12,5,3.8,0.2,1.5,0.0,0.2,0.3,0.42,2023,2023,1,0,False,0.1,0.0,0.1,0.2
1112,Darius Garland,4632,1679,649.0,282.0,26.0,250,1428.0,553.0,3803,1706,18.5,6.7,2.6,1.1,0.1,0.39,0.45,2020,2023,4,1,False,7.3,6.4,13.799999999999999,0.4
1113,Darius Johnson-Odom,0,2,6.0,1.0,0.0,7,4.0,0.0,11,0,0.0,0.3,0.9,0.1,0.0,0.0,0.0,2013,2014,2,0,False,-0.30000000000000004,0.0,-0.30000000000000004,0.4
1114,Darius Miles,5368,1002,2549.0,451.0,556.0,525,171.0,29.0,4726,2239,10.2,1.9,4.9,0.9,1.1,0.17,0.47,2001,2009,9,0,False,0.19999999999999996,13.0,13.1,0.3
1115,Darius Miller,1597,367,447.0,123.0,66.0,271,898.0,344.0,1300,545,5.9,1.4,1.6,0.5,0.2,0.38,0.42,2013,2021,9,0,False,4.3,2.2,6.4,0.4
1116,Darius Morris,537,233,152.0,58.0,2.0,159,184.0,59.0,528,205,3.4,1.5,1.0,0.4,0.0,0.32,0.39,2012,2015,4,0,False,-1.0,1.0,-0.30000000000000004,0.4
1117,Darius Songaila,3415,589,1689.0,324.0,106.0,495,19.0,3.0,2904,1449,6.9,1.2,3.4,0.7,0.2,0.16,0.5,2004,2011,8,0,False,8.6,7.4,15.9,0.5
1118,Darius Washington,53,15,20.0,5.0,0.0,18,12.0,4.0,48,21,2.9,0.8,1.1,0.3,0.0,0.33,0.44,2008,2008,1,0,False,-0.2,0.2,0.0,0.7
1119,Darko Miličić,3294,493,2273.0,242.0,724.0,555,9.0,0.0,3040,1415,5.9,0.9,4.1,0.4,1.3,0.0,0.47,2004,2013,10,0,False,-3.6,12.6,8.8,0.4
1120,Darnell Hillman,7513,1059,5764.0,515.0,863.0,760,30.0,5.0,6392,3049,9.9,1.4,7.6,0.7,1.1,0.17,0.48,1972,1980,9,0,False,8.2,26.0,34.5,0.4
1121,Darnell Jackson,331,30,225.0,26.0,15.0,166,21.0,5.0,304,132,2.0,0.2,1.4,0.2,0.1,0.24,0.43,2009,2011,3,0,False,-0.30000000000000004,1.2999999999999998,1.0,0.5
1122,Darnell Mee,76,18,36.0,16.0,13.0,40,27.0,6.0,93,29,1.9,0.4,0.9,0.4,0.3,0.22,0.31,1994,1995,2,0,False,-0.6,0.4,-0.1,0.5
1123,Darnell Valentine,5856,3326,1443.0,982.0,60.0,682,171.0,45.0,4948,2154,8.6,4.9,2.1,1.4,0.1,0.26,0.44,1982,1991,10,0,False,8.0,15.2,23.1,0.4
1124,Darrall Imhoff,5887,1457,6233.0,0.0,0.0,850,0.0,0.0,5148,2351,6.9,1.7,7.3,0.0,0.0,0.0,0.46,1961,1972,12,1,False,11.4,18.6,29.8,0.4
1125,Darrel Brown,4,0,0.0,0.0,0.0,3,0.0,0.0,6,2,1.3,0.0,0.0,0.0,0.0,0.0,0.33,1949,1949,1,0,False,0.0,0.0,0.0,0.7
1126,Darrell Allums,59,25,65.0,5.0,8.0,22,1.0,0.0,67,23,2.7,1.1,3.0,0.2,0.4,0.0,0.34,1981,1981,1,0,False,-0.5,0.2,-0.3,0.2
1127,Darrell Armstrong,7976,3572,2384.0,1178.0,106.0,906,2874.0,951.0,6784,2752,8.8,3.9,2.6,1.3,0.1,0.33,0.41,1995,2008,14,0,False,27.099999999999998,23.5,50.5,0.5
1128,Darrell Arthur,3282,409,1768.0,309.0,307.0,503,458.0,161.0,3110,1381,6.5,0.8,3.5,0.6,0.6,0.35,0.44,2009,2018,10,0,False,2.3,9.8,12.5,0.5
1129,Darrell Elston,601,204,169.0,83.0,9.0,77,18.0,3.0,627,252,7.8,2.6,2.2,1.1,0.1,0.17,0.4,1975,1977,3,0,False,-1.2,0.8,-0.30000000000000004,0.2
1130,Darrell Griffith,12391,1627,2519.0,931.0,242.0,765,1596.0,530.0,11305,5237,16.2,2.1,3.3,1.2,0.3,0.33,0.46,1981,1991,11,0,False,1.0999999999999999,20.8,22.0,0.5
1131,Darrell Hardy,89,8,56.0,0.0,0.0,17,1.0,0.0,74,32,5.2,0.5,3.3,0.0,0.0,0.0,0.43,1968,1968,1,0,False,0.3,0.3,0.5,0.4
1132,Darrell Lockhart,4,0,3.0,0.0,0.0,2,0.0,0.0,2,2,2.0,0.0,1.5,0.0,0.0,0.0,1.0,1984,1984,1,0,False,0.0,0.0,0.0,0.5
1133,Darrell Walker,6469,3329,3192.0,1123.0,227.0,757,103.0,6.0,5778,2503,8.5,4.4,4.2,1.5,0.3,0.06,0.43,1984,1993,10,0,False,3.8,23.9,27.599999999999998,0.4
1134,Darren Collison,8861,3545,1889.0,820.0,106.0,711,1613.0,635.0,6944,3272,12.5,5.0,2.7,1.2,0.1,0.39,0.47,2010,2022,13,0,False,34.3,15.5,49.7,0.5
1135,Darren Daye,2461,748,969.0,216.0,60.0,390,17.0,2.0,1932,950,6.3,1.9,2.5,0.6,0.2,0.12,0.49,1984,1988,5,0,False,3.3000000000000003,6.6,9.9,0.5
1136,Darren Morningstar,192,30,162.0,28.0,4.0,46,0.0,0.0,164,78,4.2,0.7,3.5,0.6,0.1,0.0,0.48,1994,1994,1,0,False,0.2,0.6,0.7,0.1
1137,Darren Tillis,593,60,444.0,28.0,120.0,176,4.0,0.0,616,260,3.4,0.3,2.5,0.2,0.7,0.0,0.42,1983,1984,2,0,False,-0.5,1.9,1.5,0.3
1138,Darrick Martin,3940,1692,670.0,393.0,25.0,573,1099.0,370.0,3470,1333,6.9,3.0,1.2,0.7,0.0,0.34,0.38,1995,2008,14,0,False,6.8,3.4,10.2,0.3
1139,Darrin Hancock,509,101,187.0,65.0,11.0,157,6.0,2.0,405,212,3.2,0.6,1.2,0.4,0.1,0.33,0.52,1995,1997,3,0,False,0.1,1.2,1.2000000000000002,0.5
1140,Darrun Hilliard,295,71,85.0,22.0,3.0,91,102.0,31.0,276,104,3.2,0.8,0.9,0.2,0.0,0.3,0.38,2016,2018,3,0,False,-0.49999999999999994,0.8,0.3,0.5
1141,Darryl Dawkins,8743,919,4437.0,345.0,1025.0,732,15.0,2.0,6088,3479,11.9,1.3,6.1,0.5,1.4,0.13,0.57,1976,1989,14,0,False,17.8,28.0,46.2,0.6
1142,Darryl Johnson,12,1,2.0,0.0,0.0,11,1.0,0.0,12,5,1.1,0.1,0.2,0.0,0.0,0.0,0.42,1996,1996,1,0,False,0.0,0.0,0.0,0.6
1143,Darryl Watkins,35,3,39.0,7.0,6.0,14,0.0,0.0,29,12,2.5,0.2,2.8,0.5,0.4,0.0,0.41,2008,2012,5,0,False,-0.30000000000000004,0.2,-0.1,0.4
1144,Darvin Ham,1222,243,1019.0,145.0,162.0,453,16.0,4.0,918,476,2.7,0.5,2.2,0.3,0.4,0.25,0.52,1997,2005,9,0,False,1.9,3.9,5.7,0.5
1145,Darwin Cook,6327,2375,1415.0,1115.0,213.0,678,321.0,63.0,5953,2697,9.3,3.5,2.1,1.6,0.3,0.2,0.45,1981,1989,9,0,False,3.2,20.7,23.8,0.4
1146,Daryl Macon,32,8,12.0,1.0,0.0,12,13.0,6.0,30,11,2.7,0.7,1.0,0.1,0.0,0.46,0.37,2019,2020,2,0,False,-0.1,0.0,0.0,0.5
1147,Dave Batton,188,32,123.0,15.0,16.0,58,3.0,0.0,201,90,3.2,0.6,2.1,0.3,0.3,0.0,0.45,1983,1984,2,0,False,-0.30000000000000004,0.9,0.7,0.5
1148,Dave Bing,18327,5397,3420.0,483.0,89.0,901,0.0,0.0,15769,6962,20.3,6.0,3.8,0.5,0.1,0.0,0.44,1967,1978,12,7,True,45.0,23.8,68.7,0.5
1149,Dave Britton,4,3,2.0,1.0,0.0,2,0.0,0.0,3,2,2.0,1.5,1.0,0.5,0.0,0.0,0.67,1981,1981,1,0,False,0.0,0.0,0.0,0.5
1150,Dave Budd,2505,337,1623.0,0.0,0.0,353,0.0,0.0,2092,962,7.1,1.0,4.6,0.0,0.0,0.0,0.46,1961,1965,5,0,False,8.6,3.1,11.7,0.3
1151,Dave Corzine,7615,1477,5262.0,369.0,848.0,891,53.0,10.0,6401,3097,8.5,1.7,5.9,0.4,1.0,0.19,0.48,1979,1991,13,0,False,15.9,21.3,37.5,0.5
1152,Dave Cowens,13516,2910,10444.0,599.0,488.0,766,14.0,1.0,12499,5744,17.6,3.8,13.6,0.8,0.6,0.07,0.46,1971,1983,13,8,True,30.5,55.9,86.3,0.6
1153,Dave DeBusschere,15294,2688,10506.0,67.0,39.0,951,0.0,0.0,14389,6228,16.1,2.8,11.0,0.1,0.0,0.0,0.43,1963,1974,12,8,True,15.2,50.7,66.2,0.5
1154,Dave Deutsch,21,15,21.0,0.0,0.0,19,0.0,0.0,36,6,1.1,0.8,1.1,0.0,0.0,0.0,0.17,1967,1967,1,0,False,-0.5,0.0,-0.5,0.4
1155,Dave Fedor,6,1,6.0,0.0,0.0,7,0.0,0.0,10,3,0.9,0.1,0.9,0.0,0.0,0.0,0.3,1963,1963,1,0,False,-0.1,0.0,-0.1,0.4
1156,Dave Feitl,1192,125,815.0,46.0,46.0,275,9.0,0.0,1089,471,4.3,0.5,3.0,0.2,0.2,0.0,0.43,1987,1992,6,0,False,-1.4000000000000001,2.8,1.5,0.4
1157,Dave Gambee,8817,842,4377.0,0.0,0.0,870,0.0,0.0,7464,3147,10.1,1.0,5.0,0.0,0.0,0.0,0.42,1959,1970,12,0,False,24.4,15.3,39.3,0.4
1158,Dave Greenwood,8894,1710,6939.0,630.0,788.0,890,29.0,4.0,7207,3418,10.0,1.9,7.8,0.7,0.9,0.14,0.47,1980,1991,12,0,False,21.2,27.6,48.6,0.4
1159,Dave Gunther,2,3,3.0,0.0,0.0,1,0.0,0.0,2,1,2.0,3.0,3.0,0.0,0.0,0.0,0.5,1963,1963,1,0,False,0.0,0.0,0.0,0.0
1160,Dave Henderson,126,34,35.0,12.0,5.0,22,1.0,0.0,116,47,5.7,1.5,1.6,0.5,0.2,0.0,0.41,1988,1988,1,0,False,-0.6,0.2,-0.4,0.4
1161,Dave Hoppen,1123,135,860.0,59.0,36.0,238,8.0,1.0,856,434,4.7,0.6,3.6,0.2,0.2,0.12,0.51,1988,1993,6,0,False,2.7,1.9000000000000001,4.5,0.2
1162,Dave Jamerson,308,62,81.0,23.0,1.0,95,47.0,13.0,318,122,3.2,0.7,0.9,0.2,0.0,0.28,0.38,1991,1994,4,0,False,-0.4,0.5,0.1,0.5
1163,Dave Johnson,204,17,64.0,12.0,1.0,59,15.0,3.0,203,74,3.5,0.3,1.1,0.2,0.0,0.2,0.36,1993,1994,2,0,False,-0.7,0.4,-0.30000000000000004,0.6
1164,Dave Lattin,1904,184,1332.0,0.0,0.0,263,3.0,0.0,1554,741,7.2,0.7,5.1,0.0,0.0,0.0,0.48,1968,1973,6,0,False,4.3,1.9,6.4,0.3
1165,Dave Magley,12,2,10.0,2.0,0.0,14,1.0,0.0,16,4,0.9,0.1,0.7,0.1,0.0,0.0,0.25,1983,1983,1,0,False,-0.1,0.0,-0.1,0.3
