,player,pts,ast,trb,stl,blk,g,3pta,3ptm,fga,fgm,ppg,apg,rpg,spg,bpg,3pt%,fg%,first year,last year,years played,all stars,hof,ows,dws,ws,win%
280,Askia Jones,45,16,11.0,6.0,0.0,11,12.0,2.0,44,15,4.1,1.5,1.0,0.5,0.0,0.17,0.34,1995,1995,1,0,False,-0.1,0.0,-0.1,0.3
281,Aubrey Davis,287,14,0.0,0.0,0.0,59,0.0,0.0,381,107,4.9,0.2,0.0,0.0,0.0,0.0,0.28,1947,1947,1,0,False,1.3,2.7,3.9,0.6
282,Aud Brindley,34,1,0.0,0.0,0.0,12,0.0,0.0,49,14,2.8,0.1,0.0,0.0,0.0,0.0,0.29,1947,1947,1,0,False,0.1,0.1,0.2,0.6
283,Audie Norris,819,147,576.0,85.0,69.0,187,3.0,0.0,554,283,4.4,0.8,3.1,0.5,0.4,0.0,0.51,1983,1985,3,0,False,0.0,3.0,2.9,0.6
284,Aulcie Perry,181,20,105.0,12.0,16.0,21,1.0,0.0,186,81,8.6,1.0,5.0,0.6,0.8,0.0,0.44,1975,1975,1,0,False,-0.3,0.4,0.1,0.2
285,Austin Carr,10681,1936,2051.0,448.0,68.0,729,20.0,2.0,9948,4446,14.7,2.7,2.8,0.6,0.1,0.1,0.45,1972,1981,10,1,False,20.9,11.6,32.7,0.4
286,Austin Croshere,4515,636,2683.0,246.0,217.0,673,1277.0,434.0,3698,1505,6.7,0.9,4.0,0.4,0.3,0.34,0.41,1998,2009,12,0,False,12.9,14.7,27.7,0.6
287,Austin Daye,1964,279,989.0,146.0,148.0,404,741.0,265.0,1827,731,4.9,0.7,2.4,0.4,0.4,0.36,0.4,2010,2015,6,0,False,0.6999999999999998,5.3,6.4,0.3
288,Austin Reaves,1277,325,386.0,62.0,39.0,125,383.0,139.0,808,405,10.2,2.6,3.1,0.5,0.3,0.36,0.5,2022,2023,2,0,False,6.199999999999999,2.2,8.3,0.4
289,Austin Rivers,7429,1916,1838.0,619.0,151.0,895,2867.0,987.0,6602,2753,8.3,2.1,2.1,0.7,0.2,0.34,0.42,2013,2023,11,0,False,6.6,12.6,19.2,0.4
