,player_id,player,pts,ast,trb,stl,blk,g,3pta,3ptm,fga,fgm,ppg,apg,rpg,spg,bpg,3pt%,fg%,mpg,first year,last year,years played,hof,ows,dws,ws,ws/48,ows/48,dws/48,win%,all stars,MVPs,DPOYs,MVP share,DPOY share,pos
19,5029,Andrew Nembhard,709,341,199.0,70.0,13.0,75,263.0,92.0,644,284,9.5,4.5,2.7,0.9,0.2,0.35,0.441,27.6,2023,2023,1,False,0.4,0.8,1.2,0.03,0.01,0.02,0.43,0,0.0,0.0,0.0,0.0,SG
20,4223,Andrew Wiggins,13327,1676,3109.0,685.0,480.0,689,2951.0,1037.0,11072,4971,19.3,2.4,4.5,1.0,0.7,0.351,0.449,34.8,2015,2023,9,False,14.3,14.1,28.2,0.06,0.03,0.03,0.4,1,0.0,0.0,0.0,0.0,SF
21,4586,Anfernee Simons,3450,673,617.0,117.0,38.0,273,1541.0,596.0,2842,1230,12.6,2.5,2.3,0.4,0.1,0.387,0.433,24.0,2019,2023,5,False,5.6,0.6,6.5,0.05,0.04,0.0,0.47,0,0.0,0.0,0.0,0.0,SG
22,4066,Anthony Davis,15841,1562,6865.0,883.0,1527.0,660,1038.0,311.0,11396,5917,24.0,2.4,10.4,1.3,2.3,0.3,0.519,34.4,2013,2023,11,False,62.400000000000006,37.9,100.2,0.21,0.13,0.08,0.48,8,0.0,0.0,0.68,0.887,PF
23,4808,Anthony Edwards,4871,836,1137.0,312.0,140.0,223,1700.0,599.0,3997,1761,21.8,3.7,5.1,1.4,0.6,0.352,0.441,34.2,2021,2023,3,False,1.4,7.4,8.9,0.06,0.01,0.05,0.47,1,0.0,0.0,0.0,0.0,SG
24,4809,Anthony Gill,455,72,235.0,22.0,27.0,129,79.0,25.0,301,163,3.5,0.6,1.8,0.2,0.2,0.316,0.542,10.1,2021,2023,3,False,2.4,0.9,3.3,0.12,0.09,0.03,0.43,0,0.0,0.0,0.0,0.0,PF
25,4810,Anthony Lamb,548,121,286.0,34.0,25.0,88,272.0,96.0,434,194,6.2,1.4,3.2,0.4,0.3,0.353,0.447,18.4,2021,2023,3,False,1.3,1.3,2.6,0.08,0.04,0.04,0.45,0,0.0,0.0,0.0,0.0,SF
26,4906,Austin Reaves,1277,325,386.0,62.0,39.0,125,383.0,139.0,808,405,10.2,2.6,3.1,0.5,0.3,0.363,0.501,26.1,2022,2023,2,False,6.199999999999999,2.2,8.3,0.12,0.09,0.03,0.46,0,0.0,0.0,0.0,0.0,SG
27,4069,Austin Rivers,7429,1916,1838.0,619.0,151.0,895,2867.0,987.0,6602,2753,8.3,2.1,2.1,0.7,0.2,0.344,0.417,23.8,2013,2023,11,False,6.6,12.6,19.2,0.04,0.01,0.03,0.43,0,0.0,0.0,0.0,0.0,SG
28,4907,Ayo Dosunmu,1366,462,434.0,122.0,55.0,157,375.0,129.0,1105,559,8.7,2.9,2.8,0.8,0.4,0.344,0.506,26.8,2022,2023,2,False,2.4,3.5,5.9,0.07,0.03,0.04,0.52,0,0.0,0.0,0.0,0.0,SG
29,4472,Bam Adebayo,6146,1429,3538.0,428.0,370.0,418,62.0,8.0,4259,2358,14.7,3.4,8.5,1.0,0.9,0.129,0.554,29.3,2018,2023,6,False,23.099999999999998,19.7,42.900000000000006,0.17,0.09,0.08,0.56,2,0.0,0.0,0.0,0.388,C
30,4474,Ben Simmons,4673,2383,2480.0,518.0,223.0,317,36.0,5.0,3423,1917,14.7,7.5,7.8,1.6,0.7,0.139,0.56,32.9,2018,2023,6,False,15.8,16.7,32.5,0.15,0.07,0.08,0.62,3,0.0,0.0,0.003,0.6379999999999999,PG
31,5030,Bennedict Mathurin,1302,116,318.0,48.0,13.0,78,310.0,100.0,951,413,16.7,1.5,4.1,0.6,0.2,0.323,0.434,28.5,2023,2023,1,False,1.0,0.8,1.8,0.04,0.02,0.02,0.42,0,0.0,0.0,0.0,0.0,SF
32,3984,Bismack Biyombo,4077,498,4742.0,206.0,1040.0,799,3.0,0.0,2960,1579,5.1,0.6,5.9,0.3,1.3,0.0,0.533,19.5,2012,2023,12,False,11.9,19.3,31.3,0.1,0.04,0.06,0.42,0,0.0,0.0,0.0,0.0,C
33,3920,Blake Griffin,16260,3529,6762.0,700.0,392.0,869,2166.0,719.0,12395,6029,18.7,4.1,7.8,0.8,0.5,0.332,0.486,31.7,2011,2023,13,False,57.2,31.099999999999998,87.9,0.15,0.1,0.05,0.51,6,0.0,0.0,0.353,0.0,PF
34,5031,Blake Wesley,184,99,81.0,25.0,5.0,37,52.0,20.0,215,69,5.0,2.7,2.2,0.7,0.1,0.385,0.321,18.1,2023,2023,1,False,-1.9,0.3,-1.6,-0.11,-0.14,0.02,0.27,0,0.0,0.0,0.0,0.0,SG
35,4306,Boban Marjanović,2447,224,1566.0,85.0,132.0,414,50.0,14.0,1585,921,5.9,0.5,3.8,0.2,0.3,0.28,0.581,9.2,2016,2023,8,False,11.8,5.8,17.6,0.22,0.15,0.07,0.44,0,0.0,0.0,0.0,0.0,C
36,4307,Bobby Portis,6718,714,4070.0,327.0,207.0,573,1692.0,647.0,5739,2702,11.7,1.2,7.1,0.6,0.4,0.382,0.471,22.6,2016,2023,8,False,13.5,14.6,28.1,0.1,0.05,0.05,0.46,0,0.0,0.0,0.0,0.0,PF
